_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
698489fcd5fe59bad8621846,,59.24,89.16,59.24,68.45,74;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770293756000
698489ecd5fe59bad8621796,,60.85,93.83,60.85,67.72,76;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770293740000
69844a0ed5fe59bad85f8e09,,59.24,92.86,63.25,65.02,74;1;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770277390000
698449fcd5fe59bad85f8d76,,64.05,93.26,68.05,70.83,80;0;1;0,time,15,-1,6,14.99,0,13.73,false,false,english,,normal,false,false,false,,1770277372000
698449c7d5fe59bad85f8b68,,60.83,89.41,60.83,55.1,76;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770277319000
69843ef1d5fe59bad85f2715,,54.44,88.31,54.44,58.63,68;0;0;0,time,15,-1,1,14.99,0,0.38,false,false,english,,normal,false,false,false,,1770274545000
69843ecbd5fe59bad85f25ae,,43.22,79.49,60.03,76.5,54;9;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770274507000
69843ebbd5fe59bad85f2516,,69.63,92.71,72.83,69.38,87;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770274491000
69843e8ad5fe59bad85f2369,,64.85,97.59,64.85,69.15,81;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770274442000
69843e71d5fe59bad85f2288,,54.43,85.11,72.04,68.37,68;6;1;2,time,15,-1,1,14.99,0,5.3,false,false,english,,normal,false,false,false,,1770274417000
69843e53d5fe59bad85f2183,,43.22,95.08,47.22,16.12,54;1;0;2,time,15,-1,0,14.99,5,0,false,false,english,,normal,false,false,false,,1770274387000
698387acd5fe59bad8588cc4,,49.61,92.54,49.61,52.5,62;0;0;0,time,15,-1,1,15,1,1.74,false,false,english,,normal,false,false,false,,1770227628000
69838796d5fe59bad8588b4f,,44.83,85.92,52.03,48.68,56;2;0;1,time,15,-1,0,14.99,2,0,false,false,english,,normal,false,false,false,,1770227606000
6983867cd5fe59bad8587adf,,58.42,87.5,66.42,63.26,73;4;0;2,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770227324000
6983866ad5fe59bad858799f,,54.45,86.21,64.85,54.14,68;3;0;2,time,15,-1,1,14.99,1,0.9,false,false,english,,normal,false,false,false,,1770227306000
69838633d5fe59bad858765c,,49.63,93.94,49.63,68.08,62;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770227251000
69838622d5fe59bad8587551,,53.61,89.61,53.61,60.5,67;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1770227234000
6983860fd5fe59bad8587451,,55.22,90.59,68.03,58.93,69;5;0;5,time,15,-1,2,14.99,0,2.53,false,false,english,,normal,false,false,false,,1770227215000
698385bcd5fe59bad8586f5f,,59.24,92.5,59.24,70.42,74;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770227132000
698385aad5fe59bad8586e5a,,60.02,93.98,66.42,73.72,75;3;1;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770227114000
69838598d5fe59bad8586d4b,,64.84,94.25,64.84,75.46,81;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770227096000
69838587d5fe59bad8586c3f,,62.43,95.18,64.03,61.61,78;1;0;0,time,15,-1,1,14.99,0,2.04,false,false,english,,normal,false,false,false,,1770227079000
69838571d5fe59bad8586af6,,51.21,88.61,57.61,58.16,64;2;0;0,time,15,-1,1,15,0,4.26,false,false,english,,normal,false,false,false,,1770227057000
69838519d5fe59bad85865a2,,52.02,89.04,52.02,71.07,65;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770226969000
69838508d5fe59bad85864a9,,50.42,86.08,55.22,49.89,63;2;0;0,time,15,-1,1,14.99,0,1.48,false,false,english,,normal,false,false,false,,1770226952000
698384ead5fe59bad85862e2,,72.04,95.83,72.04,59.36,90;0;0;0,time,15,-1,1,14.99,0,3.38,false,false,english,,normal,false,false,false,,1770226922000
698371e0d5fe59bad8573a53,true,68.41,94.05,70.21,65.33,342;4;0;0,time,60,-1,8,59.99,0,30.24,false,false,english,,normal,false,false,false,,1770222048000
698370d1d5fe59bad857297f,,67.41,93.35,71.61,72.23,337;4;1;2,time,60,-1,2,59.99,0,0.62,false,false,english,,normal,false,false,false,,1770221777000
69837066d5fe59bad8572309,true,66,95.72,67.7,69.3,660;5;1;1,time,120,-1,1,119.99,0,0.3,false,false,english,,normal,false,false,false,,1770221670000
69836fe5d5fe59bad8571b61,,67.25,93.41,69.65,74.14,84;2;0;0,time,15,-1,2,14.99,0,2.76,false,false,english,,normal,false,false,false,,1770221541000
69836fcdd5fe59bad85719f3,,40.83,83.58,48.84,44.26,51;4;0;0,time,15,-1,1,14.99,0,11.91,false,false,english,,normal,false,false,false,,1770221517000
69836f0bd5fe59bad8570eb2,,50.44,87.67,50.44,67.42,63;0;0;0,time,15,-1,2,14.99,0,9.67,false,false,english,,normal,false,false,false,,1770221323000
69836eebd5fe59bad8570ce2,,48.81,85.14,52.81,71.85,61;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1770221291000
69836edad5fe59bad8570bc3,,68.04,93.41,68.04,70.23,85;0;0;0,time,15,-1,1,14.99,0,0.98,false,false,english,,normal,false,false,false,,1770221274000
69836ec6d5fe59bad8570a95,,65.65,93.55,72.05,76.3,82;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770221254000
69836eb1d5fe59bad857095d,,52.81,88.89,62.42,40.33,66;4;0;0,time,15,-1,1,15,2,1.22,false,false,english,,normal,false,false,false,,1770221233000
69836e6bd5fe59bad857050d,,64.85,91.4,69.65,61.76,81;2;0;0,time,15,-1,1,14.99,0,2.81,false,false,english,,normal,false,false,false,,1770221163000
69836e46d5fe59bad85702cb,,41.62,89.66,41.62,25.16,52;0;0;0,time,15,-1,1,14.99,4,0.94,false,false,english,,normal,false,false,false,,1770221126000
69836e14d5fe59bad856ffe5,,59.25,94.87,59.25,53.91,74;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770221076000
69836dfcd5fe59bad856fe88,,55.24,86.42,58.44,62.49,69;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770221052000
69836dead5fe59bad856fd92,,59.24,93.9,61.64,60.58,74;0;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770221034000
69836dd9d5fe59bad856fc99,,69.63,96.67,69.63,57,87;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770221017000
69836dc7d5fe59bad856fb76,,48.83,88.89,52.03,37.67,61;1;0;1,time,15,-1,1,14.99,2,1.37,false,false,english,,normal,false,false,false,,1770220999000
69834b5cd5fe59bad854f440,,65.63,97.65,65.63,71.43,82;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770212188000
6983377cd5fe59bad85406b0,,66.21,92.82,68.21,65.25,331;4;0;0,time,60,-1,2,59.99,0,5.04,false,false,english,,normal,false,false,false,,1770207100000
6983371fd5fe59bad854029e,,59.81,90.34,67.41,68.5,299;9;3;1,time,60,-1,1,59.99,0,0.83,false,false,english,,normal,false,false,false,,1770207007000
698336d0d5fe59bad853ff17,,61.81,93.18,64.41,66.21,309;6;0;0,time,60,-1,2,59.99,0,8.88,false,false,english,,normal,false,false,false,,1770206928000
69833655d5fe59bad853fa11,,57.61,89.26,59.61,62.69,288;5;0;0,time,60,-1,5,59.99,0,13.8,false,false,english,,normal,false,false,false,,1770206805000
698335ead5fe59bad853f57b,,55.41,88.72,62.41,69.67,277;9;1;0,time,60,-1,4,59.99,0,7.22,false,false,english,,normal,false,false,false,,1770206698000
69833588d5fe59bad853f13f,,78.43,93.69,86.44,81.02,98;2;1;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770206600000
6982ace6d5fe59bad84ef9e0,,62.44,92.86,62.44,59.93,78;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770171622000
6982acd4d5fe59bad84ef94e,,65.65,96.47,65.65,73.69,82;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770171604000
6982acc3d5fe59bad84ef8f4,,55.22,87.5,55.22,58.01,69;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770171587000
6982ac56d5fe59bad84ef5d0,,60.03,91.57,63.24,65.8,75;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770171478000
6982ac44d5fe59bad84ef54a,,58.43,91.86,64.03,62.62,73;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770171460000
